"","Realm_GETL1","Code","Biome..GET.L3._Ecosystem_Fuctional_Groups..GET.Level.3.","EcosystemType_GETLevel5_6","RLE_2025","EPL_2025","IUCN_GET_2025_L2","IUCN_GET_2022_L3","GET_L2.text","GET_L3.text"
"1","Terrestrial","Gh3","Grassland","Xhariep Karroid Grassland","LC","PP","T4","T4.5","Savannas and grasslands","Temperate subhumid grasslands"
"2","Terrestrial","SVcb23","Savanna","Polokwane Plateau Bushveld","EN","PP","T4","T4.2","Savannas and grasslands","Pyric tussock savannas"
"3","Terrestrial","Dg1","Desert","Noms Mountain Desert","LC","WP","T5","T5.5","Deserts and semi-deserts","Hyper-arid deserts"
"4","Terrestrial","SVs4","Savanna","Ngongoni Veld","EN","NP","T4","T4.2","Savannas and grasslands","Pyric tussock savannas"
"5","Terrestrial","SKs4","Succulent Karoo","Richtersveld Sandy Coastal Scorpionstailveld","LC","NP","T5","T5.2","Deserts and semi-deserts","Thorny deserts and semi-deserts"
"6","Terrestrial","FFs20","Fynbos","Tsitsikamma Sandstone Fynbos","LC","WP","T3","T3.2","Shrublands & shrubby woodlands","Seasonally dry temperate heaths and shrublands"
"7","Terrestrial","FRa2","Fynbos","Swartland Alluvium Renosterveld","CR","NP","T3","T3.2","Shrublands & shrubby woodlands","Seasonally dry temperate heaths and shrublands"
"8","Terrestrial","AZi5","Azonal Vegetation","Bushmanland Vloere","LC","PP","T5","T5.1","Deserts and semi-deserts","Semi-desert steppes"
"9","Terrestrial","AZi7","Azonal Vegetation","Tanqua Wash Riviere","LC","MP","T5","T5.2","Deserts and semi-deserts","Thorny deserts and semi-deserts"
"10","Terrestrial","Gh11","Grassland","Vredefort Dome Granite Grassland","CR","NP","T4","T4.5","Savannas and grasslands","Temperate subhumid grasslands"
"11","Terrestrial","AZa6","Azonal Vegetation","Albany Alluvial Vegetation","EN","PP","T4","T4.1","Savannas and grasslands","Trophic savannas"
"12","Terrestrial","SVs1","Savanna","Thukela Valley Bushveld","LC","NP","T4","T4.2","Savannas and grasslands","Pyric tussock savannas"
"13","Terrestrial","NKl2","Nama-Karoo","Eastern Lower Karoo","LC","MP","T5","T5.1","Deserts and semi-deserts","Semi-desert steppes"
"14","Terrestrial","SVcb7","Savanna","Norite Koppies Bushveld","EN","PP","T4","T4.2","Savannas and grasslands","Pyric tussock savannas"
"15","Terrestrial","NKb5","Nama-Karoo","Kalahari Karroid Shrubland","LC","NP","T5","T5.1","Deserts and semi-deserts","Semi-desert steppes"
"16","Terrestrial","FFs22","Fynbos","South Rooiberg Sandstone Fynbos","LC","WP","T3","T3.2","Shrublands & shrubby woodlands","Seasonally dry temperate heaths and shrublands"
"17","Terrestrial","Gd6","Grassland","Drakensberg-Amathole Afromontane Fynbos","LC","WP","T4","T4.5","Savannas and grasslands","Temperate subhumid grasslands"
"18","Terrestrial","FRs2","Fynbos","Nieuwoudtville Shale Renosterveld","CR","NP","T3","T3.2","Shrublands & shrubby woodlands","Seasonally dry temperate heaths and shrublands"
"19","Terrestrial","FFs14","Fynbos","South Sonderend Sandstone Fynbos","CR","WP","T3","T3.2","Shrublands & shrubby woodlands","Seasonally dry temperate heaths and shrublands"
"20","Terrestrial","SKv13","Succulent Karoo","Prince Albert Succulent Karoo","LC","PP","T5","T5.2","Deserts and semi-deserts","Thorny deserts and semi-deserts"
"21","Terrestrial","SVcb19","Savanna","Limpopo Sweet Bushveld","LC","PP","T4","T4.1","Savannas and grasslands","Trophic savannas"
"22","Terrestrial","Gs1","Grassland","Northern Zululand Mistbelt Grassland","EN","PP","T4","T4.5","Savannas and grasslands","Temperate subhumid grasslands"
"23","Terrestrial","Dg3","Desert","Richtersveld Sheet Wash Desert","LC","WP","T5","T5.5","Deserts and semi-deserts","Hyper-arid deserts"
"24","Terrestrial","SVs5","Savanna","KwaZulu-Natal Sandstone Sourveld","EN","NP","T4","T4.2","Savannas and grasslands","Pyric tussock savannas"
"25","Terrestrial","Gm17","Grassland","Barberton Montane Grassland","LC","WP","T4","T4.5","Savannas and grasslands","Temperate subhumid grasslands"
"26","Terrestrial","SVl2","Savanna","Nwambyia-Pumbe Sandy Bushveld","LC","WP","T4","T4.1","Savannas and grasslands","Trophic savannas"
"27","Terrestrial","Gm11","Grassland","Rand Highveld Grassland","VU","PP","T4","T4.5","Savannas and grasslands","Temperate subhumid grasslands"
"28","Terrestrial","SKr16","Succulent Karoo","Umdaus Mountains Succulent Shrubland","LC","NP","T5","T5.2","Deserts and semi-deserts","Thorny deserts and semi-deserts"
"29","Terrestrial","Gh2","Grassland","Aliwal North Dry Grassland","LC","NP","T4","T4.5","Savannas and grasslands","Temperate subhumid grasslands"
"30","Terrestrial","FFs8","Fynbos","South Hex Sandstone Fynbos","LC","WP","T3","T3.2","Shrublands & shrubby woodlands","Seasonally dry temperate heaths and shrublands"
"31","Terrestrial","Gm24","Grassland","Northern Escarpment Afromontane Fynbos","LC","WP","T4","T4.5","Savannas and grasslands","Temperate subhumid grasslands"
"32","Terrestrial","SKv2","Succulent Karoo","Swartruggens Quartzite Karoo","LC","MP","T5","T5.2","Deserts and semi-deserts","Thorny deserts and semi-deserts"
"33","Terrestrial","FRs7","Fynbos","Montagu Shale Renosterveld","LC","PP","T3","T3.2","Shrublands & shrubby woodlands","Seasonally dry temperate heaths and shrublands"
"34","Terrestrial","NKb2","Nama-Karoo","Blouputs Karroid Thornveld","LC","WP","T5","T5.1","Deserts and semi-deserts","Semi-desert steppes"
"35","Terrestrial","NKu4","Nama-Karoo","Eastern Upper Karoo","LC","PP","T5","T5.1","Deserts and semi-deserts","Semi-desert steppes"
"36","Terrestrial","NKl4","Nama-Karoo","Albany Broken Veld","LC","MP","T5","T5.1","Deserts and semi-deserts","Semi-desert steppes"
"37","Terrestrial","Gm23","Grassland","Northern Escarpment Quartzite Sourveld","LC","MP","T4","T4.5","Savannas and grasslands","Temperate subhumid grasslands"
